id,first_name,last_name,customer_name,email,amount,currency,status
CUST-000001,Christen,Apthorp,Christen Apthorp,christenapthorp@gmail.com,299250,INR,active
CUST-000002,Clarita,Bhatt,Clarita Bhatt,claritabhatt@gmail.com,511070,INR,in_progress
CUST-000003,Ashish,An,Ashish An,ashishan@gmail.com,281090,INR,active
CUST-000004,Esmeralda,Baerl,Esmeralda Baerl,esmeraldabaerl@gmail.com,879090,INR,overdue
CUST-000005,Manish,Alexandro,Manish Alexandro,manishalexandro@gmail.com,700070,INR,recovered
CUST-000006,Fulvia,Augustin,Fulvia Augustin,fulviaaugustin@gmail.com,216730,INR,overdue
CUST-000007,Alexina,Bick,Alexina Bick,alexinabick@gmail.com,383440,INR,overdue
CUST-000008,Dania,Arlynne,Dania Arlynne,daniaarlynne@gmail.com,551160,INR,active
CUST-000009,Holly,Azriel,Holly Azriel,hollyazriel@gmail.com,162480,INR,active
CUST-000010,Federica,Angie,Federica Angie,federicaangie@gmail.com,445740,INR,in_progress
CUST-000011,Gail,Alethea,Gail Alethea,gailalethea@gmail.com,472530,INR,pending
CUST-000012,Ginnifer,Adrianna,Ginnifer Adrianna,ginniferadrianna@gmail.com,992340,INR,in_progress
CUST-000013,Deloris,Binky,Deloris Binky,delorisbinky@gmail.com,132120,INR,in_progress
CUST-000014,Arluene,Ashlie,Arluene Ashlie,arlueneashlie@gmail.com,493090,INR,active
CUST-000015,Alie,Aphrodite,Alie Aphrodite,alieaphrodite@gmail.com,34540,INR,recovered
CUST-000016,Ashish,Bodrogi,Ashish Bodrogi,ashishbodrogi@gmail.com,434530,INR,in_progress
CUST-000017,Chery,Benjamen,Chery Benjamen,cherybenjamen@gmail.com,168010,INR,active
CUST-000018,Hilda,Bekah,Hilda Bekah,hildabekah@gmail.com,151800,INR,active
CUST-000019,Ambur,Akeylah,Ambur Akeylah,amburakeylah@gmail.com,201560,INR,overdue
CUST-000020,Annabell,Bealle,Annabell Bealle,annabellbealle@gmail.com,356350,INR,recovered
CUST-000021,Hedy,Gowda,Hedy Gowda,hedygowda@gmail.com,69900,INR,recovered
CUST-000022,Dinnie,Alain,Dinnie Alain,dinniealain@gmail.com,526730,INR,active
CUST-000023,Benedikta,Batholomew,Benedikta Batholomew,benediktabatholomew@gmail.com,673100,INR,active
CUST-000024,Janis,Augustin,Janis Augustin,janisaugustin@gmail.com,834750,INR,active
CUST-000025,Flossi,Bettina,Flossi Bettina,flossibettina@gmail.com,592300,INR,in_progress
CUST-000026,Devina,Aelber,Devina Aelber,devinaaelber@gmail.com,243390,INR,active
